text,labels
"[ATT] show_id [VAL] s5118 [ATT] type [VAL] Movie [ATT] title [VAL] Good Kisser [ATT] director [VAL] Wendy Jo Carlton [ATT] cast [VAL] Kari Alison Hodge, Julia Eringer, Rachel Paulson, Courtney McCullough, Carter Rodriquez [ATT] country [VAL] nan [ATT] date_added [VAL] nan [ATT] release_year [VAL] 2020 [ATT] rating [VAL] 18+ [ATT] duration [VAL] 75 min [ATT] listed_in [VAL] Comedy, LGBTQ [ATT] description [VAL] Jenna and Kate open up their relationship to an alluring stranger in the hopes of spicing up their two-year romance, only for it to expose the faults in their foundation. [SEP] [ATT] Title [VAL] Stranger Things [ATT] Year [VAL] 2016 [ATT] Age [VAL] [MS] [SEP]",0
"[ATT] show_id [VAL] s2059 [ATT] type [VAL] TV Show [ATT] title [VAL] The Witcher[VAL] A Look Inside the Episodes [ATT] director [VAL] nan [ATT] cast [VAL] Henry Cavill, Anya Chalotra, Freya Allan, Lauren Schmidt Hissrich, Eamon Farren, Mimi Ndiweni, MyAnna Buring, Joey Batey, Adam Levy, Jodhi May [ATT] country [VAL] nan [ATT] date_added [VAL] September 2, 2020 [ATT] release_year [VAL] 2020 [ATT] rating [VAL] TV-MA [ATT] duration [VAL] 1 Season [ATT] listed_in [VAL] Docuseries, TV Sci-Fi & Fantasy [ATT] description [VAL] With series creator Lauren S. Hissrich as your guide, take an in-depth journey into the stories and themes powering [SEP] [ATT] Title [VAL] The Witcher [ATT] Year [VAL] 2019 [ATT] Age [VAL] [MS] [SEP]",0
[ATT] Titles [VAL] Sherlock [ATT] Year [VAL] 2010 [ATT] Rating [VAL] 16+ [ATT] IMDB_Rating [VAL] 9.1 [ATT] Netflix [VAL] 1 [SEP] [ATT] Title [VAL] Sherlock [ATT] Year [VAL] 2010 [ATT] Age [VAL] [MS] [SEP],1
"[ATT] show_id [VAL] s7656 [ATT] type [VAL] Movie [ATT] title [VAL] Three Roses [ATT] director [VAL] Parameswar [ATT] cast [VAL] Rambha, Jyothika, Laila, Vivek [ATT] country [VAL] nan [ATT] date_added [VAL] nan [ATT] release_year [VAL] 2003 [ATT] rating [VAL] ALL [ATT] duration [VAL] 122 min [ATT] listed_in [VAL] Action, Comedy, Drama [ATT] description [VAL] When Charulatha, Nandhu and Pooja return from abroad, they find out that their friend has been arrested for travelling on a fake passport. After learning that she is innocent, they decide to help her. [SEP] [ATT] Title [VAL] Arrested Development [ATT] Year [VAL] 2003 [ATT] Age [VAL] [MS] [SEP]",0
"[ATT] show_id [VAL] s6259 [ATT] type [VAL] TV Show [ATT] title [VAL] Be-Be-Bears [ATT] director [VAL] nan [ATT] cast [VAL] Nataliya Medvedeva, Polina Kutepova [ATT] country [VAL] Russia [ATT] date_added [VAL] August 29, 2018 [ATT] release_year [VAL] 2018 [ATT] rating [VAL] TV-Y [ATT] duration [VAL] 1 Season [ATT] listed_in [VAL] Kids' TV [ATT] description [VAL] Bear buddies Bucky and Bjorn play games, go on far-out adventures and learn about wondrous new things together. [SEP] [ATT] Title [VAL] Sacred Games [ATT] Year [VAL] 2018 [ATT] Age [VAL] [MS] [SEP]",0
"[ATT] quote [VAL] ING is ending for something which continue and continue...So Morning - Continue - Start AfterNoon - The Middle - Almost finish Night - The ENd - Finish [ATT] author [VAL] Deyth Banger [ATT] category [VAL] continue, day, ing, think, thinking, thoughts [SEP] [ATT] Title [VAL] The End of the F***ing World [ATT] Year [VAL] 2017 [ATT] Age [VAL] [MS] [SEP]",0
[ATT] Titles [VAL] Dark [ATT] Year [VAL] 2017 [ATT] Rating [VAL] 16+ [ATT] IMDB_Rating [VAL] 8.8 [ATT] Netflix [VAL] 1 [SEP] [ATT] Title [VAL] Dark [ATT] Year [VAL] 2017 [ATT] Age [VAL] [MS] [SEP],1
"[ATT] show_id [VAL] s3370 [ATT] type [VAL] TV Show [ATT] title [VAL] BoJack Horseman [ATT] director [VAL] nan [ATT] cast [VAL] Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins [ATT] country [VAL] United States [ATT] date_added [VAL] October 25, 2019 [ATT] release_year [VAL] 2020 [ATT] rating [VAL] TV-MA [ATT] duration [VAL] 6 Seasons [ATT] listed_in [VAL] TV Comedies [ATT] description [VAL] Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper? [SEP] [ATT] Title [VAL] BoJack Horseman [ATT] Year [VAL] 2014 [ATT] Age [VAL] [MS] [SEP]",1
[ATT] Titles [VAL] The Office [ATT] Year [VAL] 2005 [ATT] Rating [VAL] 16+ [ATT] IMDB_Rating [VAL] 8.9 [ATT] Netflix [VAL] 1 [SEP] [ATT] Title [VAL] The Office [ATT] Year [VAL] 2005 [ATT] Age [VAL] [MS] [SEP],1
[ATT] show_id [VAL] s3191 [ATT] type [VAL] TV Show [ATT] title [VAL] Avatar[VAL] The Last Airbender [ATT] director [VAL] nan [ATT] cast [VAL] nan [ATT] country [VAL] nan [ATT] date_added [VAL] nan [ATT] release_year [VAL] 2008 [ATT] rating [VAL] TV-Y7 [ATT] duration [VAL] 3 Seasons [ATT] listed_in [VAL] Kids [ATT] description [VAL] Fire promises to be the most exciting season yet! Aang wakes up from his battle with Azula to discover that Ba Sing Se has fallen and the world thinks he's dead. So he and his friends set off undercover to find Firelord Ozai before the Day of Black [SEP] [ATT] Title [VAL] Avatar[VAL] The Last Airbender [ATT] Year [VAL] 2005 [ATT] Age [VAL] [MS] [SEP],1
